"Value","Reference","Qty","Footprint","LCSC"
"W4F4700","R5,R6,R7,R8","4","04_MyFoot_Passive:R_3216Metric","C4502"
"25121WF470","R9,R16","2","04_MyFoot_Passive:R_6332Metric","C474195"
"15K/3W","R10,R17","2","04_MyFoot_Passive:R_Axial_2W_P20.32mm",""
"0805FR-0747RL","R11,R13","2","04_MyFoot_Passive:R_2012Metric","C114541"
"1812J103","R12,R19","2","04_MyFoot_Passive:R_4532Metric","C2933913"
"0805FR-07100K","R15","1","04_MyFoot_Passive:R_2012Metric","C96346"
"22K/3W","R18","1","04_MyFoot_Passive:R_Axial_2W_P20.32mm",""
"W4F1002","R20,R21,R34","3","04_MyFoot_Passive:R_3216Metric","C17902"
"0805FR-0733RL","R22","1","04_MyFoot_Passive:R_2012Metric","C126353"
"W4J0123","R23","1","04_MyFoot_Passive:R_3216Metric","C2771295"
"W4J0334","R24","1","04_MyFoot_Passive:R_2012Metric","C25659"
"FRL2512FR047TS-47mohm","R26","1","04_MyFoot_Passive:R_2512_6332Metric","C7467449"
"W4F7502","R27","1","04_MyFoot_Passive:R_3216Metric","C17986"
"W4F9102","R28","1","04_MyFoot_Passive:R_3216Metric","C17981"
"W4J0223","R29","1","04_MyFoot_Passive:R_3216Metric","C25654"
"W4F4992","R30","1","04_MyFoot_Passive:R_3216Metric","C18017"
"W4J0333","R31","1","04_MyFoot_Passive:R_3216Metric","C25660"
"W4J0100","R32","1","04_MyFoot_Passive:R_3216Metric","C25349"
"W4F4991","R33","1","04_MyFoot_Passive:R_3216Metric","C57609"
"W4F8871","R35","1","04_MyFoot_Passive:R_3216Metric","C55354"
"W8J0431","R36,R40","2","04_MyFoot_Passive:R_2012Metric","C54672"
"W4J0121","R37","1","04_MyFoot_Passive:R_3216Metric","C25351"
"W4J0472","R38,R41,R43,R45,R47","5","04_MyFoot_Passive:R_3216Metric","C26043"
"W4J0102","R49,R50","2","04_MyFoot_Passive:R_3216Metric","C1469"
"W4F0000","R51","1","04_MyFoot_Passive:R_3216Metric","C17888"
"TS-1088","SW1","1","06_MyFoot_Mechanical:SW_SPST_TS-1088-xR025","C455280"
"DSHP02T","SW2","1","06_MyFoot_Mechanical:CHS-02B_W7.62mm_P1.27mm","C40735"
"TOROID_OUTPUT_OD20_T6T12","T1","1","04_MyFoot_Passive:Toroid_OD20mm_ID10-T6T12",""
"TOROID_CT_OD16_T1T20","T2","1","04_MyFoot_Passive:Toroid_OD16mm_ID9.6-T1T20",""
"AMS1117-3.3","U1","1","01_MyFoot_ICs:SOT-223-3_TabPin2","C6186"
"UCC21520DWR","U2","1","01_MyFoot_ICs:SOIC-16W_7.5x10.3mm_P1.27mm","C601651"
"STM32G474RBT6","U3","1","Package_QFP:LQFP-64_10x10mm_P0.5mm","C529413"
"INA190A3IDCKR","U4","1","Package_TO_SOT_SMD:SOT-363_SC-70-6","C2058578"
"MAX3485ESA","U5","1","01_MyFoot_ICs:SOIC-8_3.9x4.9mm_P1.27mm","C668204"
"TLP185GB-S","U6,U9,U10,U11,U12","5","01_MyFoot_ICs:SOIC-4_4.55x3.7mm_P2.54mm","C388375"
"ULN2003ADR","U7,U8","2","01_MyFoot_ICs:SOIC-16_3.9x9.9mm_P1.27mm","C7512"
"X49SM8M","Y1","1","03_MyFoot_Active:Crystal_SMD_HC49-SD","C106809"
